ItemID,Sentiment,Date & Time,Source,SentimentText
1,0,2014-11-17 00:50:22 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", is so sad for my APL friend.............
2,0,2014-11-17 01:44:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I missed the New Moon trailer
3,0,2014-11-17 02:41:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
4,0,2014-11-17 03:33:09 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",i think mi bf is cheating on me!!!       T_T
5,0,2014-11-17 03:22:54 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",or i just worry too much?        
6,0,2014-11-17 04:11:02 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sunny Again        Work Tomorrow  :-|       TV Tonight
7,0,2014-11-17 05:08:15 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I must think about positive..
8,0,2014-11-17 05:52:35 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",this weekend has sucked so far
9,0,2014-11-17 06:46:19 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", jb isnt showing in australia any more!
10,0,2014-11-17 07:40:53 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", ok thats it you win.
11,0,2014-11-17 08:38:11 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   &lt;-------- This is the way i feel right now...
12,0,2014-11-17 08:57:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
13,0,2014-11-17 09:05:19 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", HUGE roll of thunder just now...SO scary!!!!
14,0,2014-11-17 09:21:04 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
15,0,2014-11-17 10:40:33 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",    Very sad about Iran.
16,0,2014-11-17 10:55:10 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",    wompppp wompp
17,0,2014-11-17 11:04:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
18,0,2014-11-17 11:29:38 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
19,0,2014-11-17 12:00:52 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   BoRinG   ): whats wrong with him??     Please tell me........   :-/
20,0,2014-11-17 12:09:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
21,0,2014-11-17 13:44:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
22,0,2014-11-17 14:52:27 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
23,0,2014-11-17 15:23:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   I hate it when any athlete appears to tear an ACL on live television.
24,0,2014-11-17 16:48:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
25,0,2014-11-17 17:48:16 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  -- Meet your Meat http://bit.ly/15SSCI
26,0,2014-11-17 18:59:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   My horsie is moving on Saturday morning.
27,0,2014-11-17 19:58:36 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   No Sat off...Need to work 6 days a week 
28,0,2014-11-17 20:13:10 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
29,0,2014-11-17 21:43:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","   SOX!     Floyd was great, but relievers need a scolding!"
30,0,2014-11-17 22:20:51 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   times by like a million
31,0,2014-11-17 23:40:42 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
32,0,2014-11-17 23:50:33 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  &amp;&amp;Fightiin Wiit The Babes...
33,0,2014-11-17 00:54:42 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  *enough said*
34,0,2014-11-17 01:09:18 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
